org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
kubernetes+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+website+contributor-playground+test-infra+kueue+k8s.io+enhancements+autoscaler+gateway-api+gateway-api-inference-extension+community+external-dns+org+cluster-api+kubespray+agent-sandbox+krew-index+api+client-go+kro+minikube+kubectl+apiserver+kubebuilder+image-builder+aws-load-balancer-controller+karpenter+cluster-api-provider-aws+ingress-nginx+prow+kops+dynamic-resource-allocation+apiextensions-apiserver+inference-perf+controller-runtime+lws+kube-scheduler+perf-tests+dra-driver-nvidia-gpu+nvidia-dra-driver-gpu+cloud-provider-azure+cloud-provider-gcp+component-base+contributor-site+kube-state-metrics+apimachinery+ingress2gateway+vsphere-csi-driver+kubelet+node-feature-discovery+kube-aggregator+aws-efs-csi-driver+cluster-api-provider-azure+dranet+gcp-compute-persistent-disk-csi-driver+node-readiness-controller+cloud-provider+code-generator+cloud-provider-openstack+python+sample-apiserver+sig-release+kind+component-helpers+jobset+kustomize+cloud-provider-aws+azuredisk-csi-driver+blob-csi-driver+cluster-api-provider-openstack+descheduler+multicluster-runtime+cli-runtime+controller-tools+lwkd+cluster-api-operator+pod-security-admission+external-provisioner+kube-agentic-networking+controller-manager+kube-controller-manager+release+sample-controller+external-snapshotter+azurefile-csi-driver+dra-example-driver+endpointslice+external-snapshot-metadata+cloud-provider-kind+kube-api-linter+mcp-lifecycle-operator+cri-client+ingress-gce+cluster-api-provider-gcp+cluster-api-provider-vsphere+container-object-storage-interface+cluster-api-provider-ibmcloud+wg-ai-gateway+external-resizer+cri-tools+kube-proxy+metrics+sample-cli-plugin+csi-driver-nfs+aws-ebs-csi-driver+aws-encryption-provider+node-problem-detector+kube-network-policies+security-profiles-operator+cluster-bootstrap+cri-api+csi-translation-lib+java+javascript+csi-driver-smb+docs+aws-iam-authenticator+hydrophone+scheduler-plugins+secrets-store-csi-driver+sig-security+dra-driver-cpu+e2e-framework+karpenter-provider-ibm-cloud+metrics-server+cloud-provider-vsphere+csi-release-tools+gcp-filestore-csi-driver+karpenter-provider-cluster-api+kindnet+network-policy-api+sig-storage-local-static-provisioner+structured-merge-diff+mount-utils+external-attacher+alibaba-cloud-csi-driver+apiserver-network-proxy+provider-ibmcloud-test-infra+kms+aws-fsx-csi-driver+azurelustre-csi-driver+boskos+cluster-api-provider-digitalocean+kubetest2+kwok+externaljwt+kube-openapi+node-driver-registrar+aws-fsx-openzfs-csi-driver+cluster-inventory-api+ibm-vpc-block-csi-driver+promo-tools+resource-state-metrics+signalhound+kubeadm+livenessprobe+cluster-api-provider-kubevirt+crdify+gwctl+krew+reference-docs+csharp+gen+csi-driver-host-path+csi-test+ai-conformance+cluster-api-addon-provider-helm+cluster-api-ipam-provider-in-cluster+mcs-api+sig-storage-lib-external-provisioner+sig-windows-tools+testgrid+wg-ai-conformance+wg-device-management+wg-serving+git-sync+steering+csi-proxy+external-health-monitor+lib-volume-populator+bom+cve-feed-osv+ingate+kernel-module-management+minikube-preloads+node-local-dns+release-utils+sig-multicluster-site+tejolote+windows-testing+zeitgeist+gengo+utils+csi-driver-iscsi+csi-lib-utils+volume-data-source-validator+cluster-api-provider-cloudstack+ibm-powervs-block-csi-driver+kubernetes-network-drivers+nat64+release-sdk+secrets-store-sync-controller+cri-streaming+examples+publishing-bot+registry.k8s.io+c+apisnoop+blixt+cluster-api-provider-kubemark+devops-bench+downloadkubernetes+etcd-manager+node-ipam-controller+release-actions+work-api+dns+csi-driver-nvmf+csi-lib-iscsi+cli-experimental+cli-utils+cloud-provider-equinix-metal+cluster-capacity+dra-driver-google-tpu+dra-driver-topology+ip-masq-agent+kjob+kubectl-validate+maintainer-tools+multi-network+provider-aws-test-infra+committee-security-response+dashboard+kompose+streaming+system-validators+about-api+cluster-proportional-autoscaler+cluster-proportional-vertical-autoscaler+cosi-driver-sample+custom-metrics-apiserver+gateway-api-conformance-images+iptables-wrappers+knftables+kube-scheduler-simulator+kubebuilder-declarative-pattern+kubebuilder-release-tools+mdtoc+minikube-gui+multi-network-api+node-feature-discovery-operator+scheduler-library+slack-infra+verify-conformance+cloud-provider-alibaba-cloud+repo-infra+cloud-provider-huaweicloud+depstat+kube-agents+kube-scheduler-wasm-extension+logtools+maintainers+minikube-os+network-policy-finalizer+nfs-ganesha-server-and-external-provisioner+nfs-subdir-external-provisioner+release-notes+release-team-shadow-stats+testgrid-json-exporter,199343,148277,17955,55963,6601,26510,4349,Kubernetes,kubernetes.io
open-telemetry,opentelemetry-collector-contrib+opentelemetry.io+opentelemetry-collector+opentelemetry-python-contrib+opentelemetry-helm-charts+opentelemetry-js+semantic-conventions+opentelemetry-go+opentelemetry-specification+otel-arrow+opentelemetry-js-contrib+opentelemetry-operator+opentelemetry-python+opentelemetry-go-contrib+opentelemetry-java-instrumentation+community+opentelemetry-cpp+opentelemetry-demo+opentelemetry-rust+opentelemetry-python-genai+opentelemetry-java+opentelemetry-ebpf-instrumentation+opentelemetry-dotnet-contrib+opentelemetry-ebpf-profiler+semantic-conventions-genai+opentelemetry-ruby-contrib+opentelemetry-collector-releases+opentelemetry-dotnet+opentelemetry-ecosystem-explorer+opentelemetry-go-compile-instrumentation+opentelemetry-java-contrib+weaver+opentelemetry-ruby+opentelemetry-android+opentelemetry-php-contrib+opentelemetry-dotnet-instrumentation+opentelemetry-swift+opentelemetry-php+opentelemetry-lambda+opentelemetry-rust-contrib+opamp-go+opentelemetry-proto+opentelemetry-swift-core+opentelemetry-configuration+opentelemetry-erlang-contrib+opentelemetry-go-build-tools+opentelemetry-zig+opentelemetry-browser+opentelemetry-injector+opentelemetry-kotlin+opamp-spec+opentelemetry-java-examples+sig-profiling+opentelemetry-go-instrumentation+opentelemetry-cpp-contrib+opentelemetry-erlang+semantic-conventions-java+opentelemetry-network+opentelemetry-php-instrumentation+sig-end-user+opentelemetry-proto-go+sig-security+build-tools+opentelemetry-php-distro+opentelemetry-weaver-examples+opentelemetry-weaver-packages+.github+opentelemetry-go-vanityurls+opentelemetry-proto-java+sig-contributor-experience+assign-reviewers-action+opentelemetry-benchmarks+opentelemetry-network-build-tools+opentelemetry-packaging+shared-workflows+sig-project-infra+.roadmap+changelog.opentelemetry.io+cpp-build-tools+opentelemetry-for-beginners+opentelemetry-ruby-instrumentation+opentelemetry-swift-grpc+sig-developer-experience+.project+semantic-conventions-mainframe,135084,71969,15889,31232,8869,38357,2392,OpenTelemetry,opentelemetry.io
argoproj+argoproj-labs,argo-cd+argo-workflows+argo-rollouts+argo-helm+argocd-agent+argocd-image-updater+argo-events+notifications-engine+argocd-operator+gitops-promoter+terraform-provider-argocd+rollouts-plugin-trafficrouter-gatewayapi+mcp-for-argocd+argo-ui+argoproj+hera+gitops-engine+rollout-extension+argo-rollouts-manager+argocd-rbac-operator+argo-site+argocd-ephemeral-access+argocd-example-apps+gordian+argoproj-deployments+argocd-extension-installer+argocd-monorepo-controller+argoproj.github.io+assistant-for-argocd+gitops-promoter-helm+rollouts-plugin-metric-ai+argocd-autopilot+clusterprofile-integration-for-argocd+rollouts-plugin-trafficrouter-openshift+argo-workflows-community-builds+gitops-promoter-demo+training-material+homebrew-tap+artifact-plugin-s3+rollouts-plugin-trafficrouter-glooedge+argo-schema-generator+pkg,36589,11159,3145,19865,3598,18687,1127,Argo,argoproj.github.io
prometheus+prometheus-community,prometheus+helm-charts+alertmanager+docs+procfs+client_golang+node_exporter+ansible+snmp_exporter+blackbox_exporter+common+client_python+client_java+windows_exporter+postgres_exporter+yet-another-cloudwatch-exporter+fortigate_exporter+elasticsearch_exporter+proposals+statsd_exporter+node-exporter-textfile-collector-scripts+parquet-common+client_js+client_rust+governance+jmx_exporter+mysqld_exporter+compliance+test-infra+prom-label-proxy+otlptranslator+promu+pro-bing+prom2json+prometheus-mcp+pushgateway+pgbouncer_exporter+memcached_exporter+promci+bind_exporter+ipmi_exporter+snmp+cloudwatch_exporter+graphite_exporter+json_exporter+monaco-promql+promql-langserver+stackdriver_exporter+client_model+client_ruby+exporter-toolkit+golang-builder+influxdb_exporter+sigv4+smartctl_exporter+ux-research+collectd_exporter+consul_exporter+demo-site+opentelemetry-collector-bridge+prometheus-opentelemetry-collector+promlens+test-sd-ownership+avalanche+ecs_exporter+highlightjs-promql+parquet-wg+PushProx+systemd_exporter+busybox+OpenMetrics+promci-setup+jiralert+prometheus-playground+sublimelsp-promql+vscode-promql+circleci+client_java-benchmarks+promci-artifacts+promci-images+talks,19864,10091,2231,7932,1202,6340,1070,Prometheus,prometheus.io
meshery+meshery-extensions,meshery+meshery.io+kanvas-site+schemas+meshery-academy+meshkit+shape-builder+digitalocean-academy+meshery-extensions-packages+meshery-operator+qa+qa+meshsync+play+examples+tcslabs-academy+kubectl-meshsync-snapshot+meshery-istio+meshery-kuma+.github+meshery-linkerd+meshery-nginx-sm+helm-kanvas-snapshot+kanvas-snapshot+meshery-traefik-mesh+kubectl-kanvas-snapshot+meshery-adapter-template+meshery-consul+.github+meshery-cilium+meshery-adapter-library+meshery-app-mesh+meshery-nsm+meet+meshery-nighthawk+homebrew-tap+integrations-workflow+slack+.project+pvtr+scoop-bucket+meshery-cpx+meshery-tanzu-sm+meshery-octarine,19928,8059,2468,62158,1639,7762,982,Meshery,layer5.io/meshery
envoyproxy,envoy+gateway+envoy-openssl+ai-gateway+data-plane-api+ratelimit+go-control-plane+nighthawk+toolshed+examples+java-control-plane+dynamic-modules-examples+envoy-website+envoy-build-tools+archive+apt+modules,34404,20055,4453,8887,2286,7610,820,Envoy,envoyproxy.io
backstage,backstage+community-plugins+charts+mkdocs-techdocs-core+actions+community+codemods+contribfest+demo+techdocs-container+software-templates+upgrade-helper-diff+canon-docs+docs-ui+canon-redirect+versions,51730,9545,2488,20137,942,38755,674,Backstage,backstage.io
cilium,cilium+tetragon+community+cilium.io+ebpf+little-vm-helper+little-vm-helper-images+proxy+pwru+certgen+statedb+image-tools+charts+design-cfps+ariane+cilium-cli+dev-summits+hive+hubble+ci-kernels+hubble-ui+fake+json-mock+release+scale-tests-action+scaffolding+workerpool+docsearch-scraper-webhook+action-secure-checkout+alpine-curl+github-actions+hubble-export-stdout+linters+stackwhere+team-manager+test-connection-disruption+cilium-perf-networking+echoserver-udp,34101,19795,4632,11194,1778,7896,633,Cilium,cilium.io
keycloak,keycloak+terraform-provider-keycloak+keycloak-web+keycloak-quickstarts+keycloak-benchmark+kc-sig-fapi+keycloak-oauth-sig+keycloak.github.io+keycloak-client+dashboard+keycloak-js+.github+keycloak-playground+keycloak-grafana-dashboard+keycloak-github-bot+keycloak-ai-sig+keycloak-sre-sig,19093,9806,2135,4849,4367,2785,619,Keycloak,keycloak.org
kubeflow,pipelines+trainer+website+sdk+hub+model-registry+internal-acls+spark-operator+notebooks+community-distribution+manifests+community+blog+kale+dashboard+mcp-apache-spark-history-server+katib+pipelines-components+docs-agent+kubeflow+mcp-server+mpi-operator+arena+mlflow-integration,21701,16474,1788,4796,812,2627,584,Kubeflow,kubeflow.org
